policy_id,primary_url,all_urls
"34374","https://www.city.izu.shizuoka.jp/gyousei/gyousei_detail010433.html","https://www.city.izu.shizuoka.jp/gyousei/gyousei_detail010433.html"
"34358","https://www.city.kobayashi.lg.jp/material/files/group/6/JRkittosenriyousokusinnkyougikai-danntairiyou-youryou.pdf","https://www.city.kobayashi.lg.jp/soshikikarasagasu/sogoseisakubukikakuseisakuka/hojokin_joseikin/5987.html | https://www.city.kobayashi.lg.jp/material/files/group/6/JRkittosenriyousokusinnkyougikai-danntairiyou-youryou.pdf"
"34427","https://www.city.saga.lg.jp/site_files/file/2022/202208/p1g9mnl21u12g21ghd1fqvl1b1rcc4.pdf","https://www.city.saga.lg.jp/main/82623.html | https://www.city.saga.lg.jp/site_files/file/2022/202208/p1g9mnl21u12g21ghd1fqvl1b1rcc4.pdf | https://www.city.saga.lg.jp/site_files/file/2022/202208/p1g9mo365o129b10u3dsikr29mn6.pdf"
"34519","https://www.city.chichibu.lg.jp/secure/24487/koufu_youkou.pdf","https://www.city.chichibu.lg.jp/10193.html | https://www.city.chichibu.lg.jp/secure/24487/koufu_youkou.pdf | https://www.city.chichibu.lg.jp/6305.html"
"34463","http://www.city.musashino.lg.jp/_res/projects/default_project/_page_/001/005/399/youkoku.pdf","https://www.city.musashino.lg.jp/kurashi_tetsuzuki/jutaku_shinchiku_zokaichiku/jutaku/1005399.html | http://www.city.musashino.lg.jp/_res/projects/default_project/_page_/001/005/399/youkoku.pdf"
"34532","http://www.city.shirakawa.fukushima.jp/data/doc/1659594036_doc_22_0.pdf","https://www.city.shirakawa.fukushima.jp/page/page005827.html | http://www.city.shirakawa.fukushima.jp/data/doc/1659594036_doc_22_0.pdf | http://www.city.shirakawa.fukushima.jp/data/doc/1659594024_doc_22_0.pdf | https://www.shirakawa.jp/ssl/shirakawa/inq.php?mode=detail&code=8&code2=5&ssl=1"
"34640","https://www.pref.gunma.jp/site/hojokin/9013.html","https://www.pref.gunma.jp/site/hojokin/9013.html"
"34575","https://www.city.katsushika.lg.jp/1000014/1007359/1007376/1007575.html","https://www.city.katsushika.lg.jp/1000014/1007359/1007376/1007575.html"
"34643","https://www.city.iwakuni.lg.jp/soshiki/42/71607.html","https://www.city.iwakuni.lg.jp/soshiki/42/71607.html | https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.city.iwakuni.lg.jp%2Fuploaded%2Flife%2F71607_426680_misc.docx&wdOrigin=BROWSELINK"
"34669","https://www.city.himi.toyama.jp/gyosei/bijinesu_sangyo/shien/2/7128.html","https://www.city.himi.toyama.jp/gyosei/bijinesu_sangyo/shien/2/7128.html"
"34648","https://www.city.fuchu.hiroshima.jp/soshiki/keizaikanko/syokorodoka/shien_seido/7118.html","https://www.city.fuchu.hiroshima.jp/soshiki/keizaikanko/syokorodoka/shien_seido/7118.html"
"34673","http://h-osaka.jp/hispa/120.php","http://h-osaka.jp/hispa/120.php"
"34680","https://www.city.fuefuki.yamanashi.jp/norinshinko/sangyo/noringyo/r4nourinshinkouhojyoichiran.html","https://www.city.fuefuki.yamanashi.jp/norinshinko/sangyo/noringyo/r4nourinshinkouhojyoichiran.html | https://www.city.fuefuki.yamanashi.jp/cgi-bin/faq/form.cgi"
"34729","https://www.city.kurayoshi.lg.jp/user/filer_public/17/cc/17cca658-0e7c-4f36-be17-e3265c8e8c31/yi-zhu-jiu-zhi-zhe-jia-ren-bu-zhu-jin-atsupurodotesuto.pdf","https://www.city.kurayoshi.lg.jp/gyousei/div/sangyou/shoukou/r133-1/ | https://www.city.kurayoshi.lg.jp/user/filer_public/17/cc/17cca658-0e7c-4f36-be17-e3265c8e8c31/yi-zhu-jiu-zhi-zhe-jia-ren-bu-zhu-jin-atsupurodotesuto.pdf"
"34734","https://www.town.obuse.nagano.jp/docs/52235.html","https://www.town.obuse.nagano.jp/docs/52235.html"
"34757","https://www.city.tateyama.chiba.jp/files/300369959.pdf","https://www.city.tateyama.chiba.jp/kankyou/page100209.html | https://www.city.tateyama.chiba.jp/files/300369959.pdf"
"34756","https://www.city.minamikyushu.lg.jp/syoukou/keieikaizenkeikakusakutei.html","https://www.city.minamikyushu.lg.jp/syoukou/keieikaizenkeikakusakutei.html | https://www.kagoshima-cgc.or.jp/consult/improvement/"
"34775","https://www.city.izu.shizuoka.jp/gyousei/gyousei_detail010434.html","https://www.city.izu.shizuoka.jp/gyousei/gyousei_detail010434.html"
"34780","https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf","https://www.city.minamisoma.lg.jp/portal/sections/18/1810/18101/1/1/15237.html | https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf"
"34779","https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf","https://www.city.minamisoma.lg.jp/portal/sections/18/1810/18101/1/1/15238.html | https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf"
"34793","https://www.town.minano.saitama.jp/section/kankou/23845/","https://www.town.minano.saitama.jp/section/kankou/23845/"
"34796","https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf","https://www.city.minamisoma.lg.jp/portal/sections/16/1610/16101/1/1/15236.html | https://www.city.minamisoma.lg.jp/material/files/group/21/tayounaninaite_r4_4_1.pdf"
"34813","https://www.city.kasai.hyogo.jp/uploaded/attachment/17836.pdf","https://www.city.kasai.hyogo.jp/soshiki/22/1556.html | https://www.city.kasai.hyogo.jp/uploaded/attachment/17836.pdf"
"34872","https://www.town.takahama.fukui.jp/page/sanngyousinnkou/p006273_d/fil/1.pdf","https://www.town.takahama.fukui.jp/page/sanngyousinnkou/p006273.html | https://www.town.takahama.fukui.jp/page/sanngyousinnkou/p006273_d/fil/1.pdf"
"34823","http://www.town.kikai.lg.jp/chikusan/documents/yoko.pdf","http://www.town.kikai.lg.jp/chikusan/chikusan-zoutou.html | http://www.town.kikai.lg.jp/chikusan/documents/yoko.pdf"
"34887","https://www.city.maebashi.gunma.jp/soshiki/noseibu/nosei/gyomu/4/1/34051.html","https://www.city.maebashi.gunma.jp/soshiki/noseibu/nosei/gyomu/4/1/34051.html"
"34889","https://www.city.adachi.tokyo.jp/chusho/gyutuhojyo15.html","https://www.city.adachi.tokyo.jp/chusho/gyutuhojyo15.html"
"34947","http://www.city.ono.fukui.jp/sangyo/noringyo/josei/r4nogyoseisanhihojyo.html","http://www.city.ono.fukui.jp/sangyo/noringyo/josei/r4nogyoseisanhihojyo.html"
"34905","https://www.city.adachi.tokyo.jp/documents/20410/r5isoannai.pdf","https://www.city.adachi.tokyo.jp/s-shinko/shigoto/chushokigyo/25iso-josei.html | https://www.city.adachi.tokyo.jp/documents/20410/r5isoannai.pdf"
"34954","https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/leafletsyuugou.pdf","https://www.city.nagareyama.chiba.jp/life/1002584/1002591/1033223/1033242.html | https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/leafletsyuugou.pdf | https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/r4sinkisoku.pdf | https://www.city.nagareyama.chiba.jp/cgi-bin/contacts/g080100"
"34955","https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/leafletsyougyou.pdf","https://www.city.nagareyama.chiba.jp/life/1002584/1002591/1033223/1033243.html | https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/leafletsyougyou.pdf | https://www.city.nagareyama.chiba.jp/_res/projects/default_project/_page_/001/033/223/r4sinkisoku.pdf | https://www.city.nagareyama.chiba.jp/cgi-bin/contacts/g080100"
"34961","https://www.city.hino.lg.jp/_res/projects/default_project/_page_/001/003/538/koyou.pdf","https://www.city.hino.lg.jp/sangyo/1020464/1020470.html | https://www.city.hino.lg.jp/_res/projects/default_project/_page_/001/003/538/koyou.pdf | https://www.city.hino.lg.jp/cgi-bin/contacts/G070100"
"34992","https://www.town.aikawa.kanagawa.jp/soshiki/kankyou_keizai/nousei/nousei/info/1659399320802.html","https://www.town.aikawa.kanagawa.jp/soshiki/kankyou_keizai/nousei/nousei/info/1659399320802.html"
